Name,Oscars,Oscar Nominations,BAFTAs,BAFTA Nominations,Golden Globes,Golden Globe Nominations,Country,Greatest Performances
Gary Cooper,2,5,0,0,1,2,American,"High Noon, Sergeant York, Mr. Deeds Goes to Town"
Gary Oldman,0,1,1,3,0,0,English,"Prick Up Your Ears, Leon: The Professional, Tinker Tailor Soldier Spy"
Gene Hackman,2,5,3,7,3,8,American,"Unforgiven, Mississippi Burning, The French Connection"
Gene Kelly,0,1,0,0,0,2,American,"Hello, Dolly!, Anchors Aweigh, An American in Paris"
Geoffrey Rush,1,4,3,5,2,5,Australian,"Shine, Quills, The King's Speech"
George C. Scott,1,4,0,3,2,5,American,"Patton, The Hustler, The Hospital"
Gregory Peck,1,5,0,2,3,6,American,"To Kill a Mockingbird, The Boys from Brazil, Gentleman's Agreement"
Harrison Ford,0,1,0,1,0,4,American,"Witness, Star Wars, The Fugitive"
Heath Ledger,1,2,1,2,1,2,Australian,"Candy, The Dark Knight, Brokeback Mountain"
Henry Fonda,1,3,1,2,1,2,American,"12 Angry Men, On Golden Pond, The Grapes of Wrath"
Hugh Jackman,0,1,0,1,1,2,Australian,"Logan, The Fountain, Les Miserables, Kate & Leopold"
Humphrey Bogart,1,3,0,1,0,0,American,"Casablanca, The Caine Mutiny, The African Queen"
Ian McKellen,0,2,0,4,1,3,English,"The Lord of the Rings: The Fellowship of the Ring, Richard III, Gods and Monsters"
Jack Lemmon,2,8,2,8,4,22,American,"The Apartment, Mister Roberts, Save the Tiger, Some Like It Hot"
Jack Nicholson,3,12,4,8,6,17,American,"The Shining, Chinatown, As Good as It Gets, One Flew Over The Cuckoo's Nest"
James Cagney,1,3,0,0,0,0,American,"Love Me or Leave Me, Yankee Doodle Dandy, Angles with Dirty Faces"
James Dean,0,2,0,2,0,0,American,"Giant, East of Eden, Rebel Without a Cause"
James Stewart,1,5,0,2,1,3,American,"Anatomy of a Murder, It's a Wonderful Life, A Philadelphia Story, Mr. Smith Goes to Washington"
Jamie Foxx,1,2,1,2,1,3,American,"Ray, Django Unchained, Collateral"
Jason Robards,2,3,0,2,0,5,American,"Julia, Melvin and Howard, All the President's Men"
Javier Bardem,1,3,1,2,4,1,Spanish,"Biutiful, Before Night Falls, No Country for Old Men"
Jeff Bridges,1,6,0,2,1,4,American,"The Big Lebowski, Starman, True Grit, Crazy Heart"
Jeremy Irons,1,1,0,2,2,6,English,"Dead Ringers, Reversal of Fortune, aBrideshead Revisited"
Jim Carrey,0,4,0,1,2,6,American,"Man on the Moon, The Truman Show, Eternal Sunshine of the Spotless Mind"
Joaquin Phoenix,0,3,0,3,1,5,American,"Her, The Master, Walk the Line"
Joe Pesci,1,2,1,1,0,2,American,"Casino, Goodfellas, Raging Bull"
John Goodman,0,0,0,0,1,5,American,"Flight, Barton Fink, The Big Lebowski"
John Travolta,0,2,0,1,1,7,American,"Saturday Night Fever, Pulp Fiction, Grease"
John Wayne,1,3,0,0,1,1,American,"True Grit, The Alamo, Sands of Iwo Jima"
Johnny Depp,0,3,0,2,1,10,American,"Ed Wood, Donnie Brasco, Edward Scissorhands"
Jon Voight,1,4,1,1,3,9,American,"Coming Home, Runaway Train, Midnight Cowboy"
Kevin Spacey,2,2,1,3,1,8,American,"The Usual Suspects, L.A. Confidential, Se7en, American Beauty"
Kirk Douglas,0,3,0,1,1,3,American,"Spartacus, Champion, Lust for Life, The Bad and the Beautiful"
