Entity,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulgaria,BGR,71.501,71.744,71.994,72.237,72.463,72.673,72.874,73.077,73.287,73.504,73.722,73.932,74.126,74.3,74.451,74.584,74.703,74.815,74.928,75.046
Burkina Faso,BFA,50.489,50.893,51.384,51.956,52.602,53.31,54.063,54.841,55.618,56.377,57.096,57.761,58.374,58.937,59.45,59.919,60.354,60.768,61.174,61.577
Burundi,BDI,49.091,49.93,50.81,51.69,52.547,53.369,54.163,54.944,55.721,56.488,57.228,57.925,58.568,59.148,59.665,60.123,60.528,60.898,61.247,61.584
Cambodia,KHM,58.432,59.335,60.283,61.241,62.186,63.088,63.927,64.697,65.394,66.014,66.56,67.043,67.48,67.888,68.273,68.637,68.977,69.289,69.57,69.823
Cameroon,CMR,50.993,51.222,51.536,51.908,52.321,52.76,53.215,53.681,54.153,54.627,55.101,55.581,56.073,56.576,57.083,57.583,58.063,58.511,58.921,59.292
Canada,CAN,79.118,79.341,79.567,79.793,80.015,80.235,80.454,80.675,80.897,81.114,81.322,81.51,81.674,81.812,81.927,82.026,82.117,82.21,82.315,82.434
Cape Verde,CPV,68.583,69.099,69.557,69.932,70.219,70.424,70.565,70.676,70.786,70.911,71.062,71.243,71.445,71.661,71.886,72.117,72.347,72.57,72.782,72.981
Cayman Islands,CYM,78.949,79.335,79.739,80.158,80.587,81.009,81.407,81.765,82.075,82.334,82.546,82.72,82.875,83.023,83.171,83.324,83.48,83.633,83.781,83.924
Central African Republic,CAF,44.19,44.061,44.063,44.182,44.413,44.744,45.158,45.636,46.161,46.719,47.312,47.95,48.638,49.371,50.129,50.881,51.593,52.24,52.805,53.283
Chad,TCD,47.713,47.789,47.9,48.057,48.27,48.549,48.907,49.335,49.82,50.346,50.89,51.424,51.928,52.386,52.789,53.137,53.438,53.712,53.977,54.239
Channel Islands,OWID_CIS,79.037,79.3,79.548,79.795,80.045,80.298,80.553,80.802,81.041,81.268,81.483,81.688,81.883,82.071,82.252,82.429,82.6,82.766,82.928,83.086
Chile,CHL,76.366,76.634,76.894,77.146,77.391,77.63,77.865,78.099,78.33,78.558,78.779,78.986,79.176,79.349,79.504,79.646,79.779,79.909,80.042,80.181
China,CHN,71.397,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704,76.912
Colombia,COL,72.945,73.241,73.517,73.777,74.026,74.265,74.5,74.732,74.962,75.193,75.424,75.655,75.882,76.105,76.322,76.531,76.732,76.925,77.109,77.287
Comoros,COM,59.46,59.529,59.617,59.738,59.904,60.126,60.407,60.734,61.094,61.475,61.862,62.24,62.595,62.922,63.214,63.471,63.7,63.912,64.118,64.321
Congo,COG,52.123,52.517,53.091,53.817,54.667,55.6,56.573,57.541,58.466,59.321,60.093,60.785,61.423,62.022,62.582,63.097,63.556,63.954,64.29,64.57
Cook Islands,COK,71.596,71.878,72.161,72.443,72.722,72.996,73.264,73.523,73.775,74.019,74.256,74.489,74.721,74.951,75.181,75.409,75.631,75.845,76.05,76.246
Costa Rica,CRI,77.452,77.601,77.74,77.871,77.996,78.117,78.239,78.362,78.491,78.626,78.769,78.919,79.074,79.234,79.398,79.565,79.738,79.914,80.095,80.279
Cote d'Ivoire,CIV,49.635,49.495,49.475,49.572,49.788,50.12,50.561,51.091,51.682,52.313,52.964,53.62,54.271,54.906,55.508,56.065,56.567,57.017,57.422,57.783
Croatia,HRV,74.794,74.881,74.972,75.091,75.247,75.447,75.688,75.956,76.236,76.52,76.797,77.059,77.301,77.521,77.717,77.892,78.049,78.197,78.342,78.488
Cuba,CUB,76.699,76.905,77.105,77.303,77.499,77.688,77.864,78.019,78.15,78.256,78.338,78.4,78.446,78.485,78.521,78.561,78.607,78.662,78.726,78.802
Curacao,CUW,74.702,74.797,74.92,75.071,75.25,75.463,75.713,75.996,76.307,76.634,76.964,77.283,77.578,77.842,78.072,78.268,78.435,78.587,78.733,78.88
Cyprus,CYP,78.009,78.139,78.264,78.385,78.506,78.63,78.764,78.91,79.071,79.245,79.43,79.621,79.812,79.999,80.178,80.35,80.513,80.672,80.828,80.982
Czechia,CZE,74.899,75.167,75.434,75.707,75.987,76.272,76.557,76.837,77.107,77.365,77.61,77.843,78.067,78.283,78.492,78.692,78.881,79.058,79.222,79.376
Democratic Republic of Congo,COD,50.041,50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.35,56.909,57.427,57.914,58.381,58.828,59.254,59.655,60.026,60.368,60.681
Denmark,DNK,76.712,76.953,77.195,77.439,77.684,77.936,78.204,78.49,78.793,79.107,79.416,79.704,79.958,80.171,80.342,80.475,80.583,80.681,80.784,80.898
Djibouti,DJI,57.022,57.1,57.235,57.427,57.682,57.991,58.34,58.719,59.124,59.561,60.062,60.667,61.395,62.239,63.171,64.136,65.064,65.893,66.582,67.112
Dominica,DMA,74.425,74.547,74.655,74.749,74.82,74.853,74.83,74.746,74.612,74.441,74.262,74.111,74.017,73.998,74.059,74.194,74.384,74.597,74.806,75
Dominican Republic,DOM,69.429,69.69,69.957,70.227,70.499,70.771,71.041,71.304,71.559,71.806,72.046,72.284,72.523,72.763,73.003,73.241,73.471,73.689,73.892,74.081
Ecuador,ECU,72.761,73.078,73.371,73.641,73.887,74.112,74.319,74.514,74.705,74.895,75.089,75.289,75.495,75.707,75.923,76.143,76.365,76.584,76.8,77.01
Egypt,EGY,68.602,68.796,68.961,69.116,69.271,69.434,69.608,69.788,69.971,70.159,70.349,70.543,70.736,70.928,71.117,71.302,71.482,71.656,71.825,71.99
El Salvador,SLV,68.875,69.162,69.432,69.68,69.908,70.124,70.333,70.542,70.756,70.978,71.21,71.449,71.692,71.935,72.175,72.412,72.644,72.872,73.096,73.317
Equatorial Guinea,GNQ,53.279,53.581,53.84,54.064,54.263,54.449,54.638,54.842,55.07,55.329,55.622,55.945,56.288,56.642,57.001,57.359,57.713,58.061,58.402,58.735
Eritrea,ERI,55.273,55.864,56.5,57.191,57.932,58.707,59.487,60.243,60.952,61.602,62.193,62.732,63.238,63.726,64.201,64.664,65.111,65.538,65.941,66.321
Estonia,EST,70.409,70.845,71.285,71.728,72.169,72.62,73.094,73.603,74.148,74.723,75.311,75.893,76.446,76.953,77.401,77.783,78.097,78.354,78.567,78.745
Eswatini,SWZ,47.49,45.799,44.41,43.372,42.731,42.518,42.733,43.308,44.17,45.275,46.601,48.141,49.862,51.699,53.569,55.359,56.962,58.319,59.401,60.194
Ethiopia,ETH,51.941,52.595,53.349,54.211,55.174,56.223,57.334,58.467,59.581,60.645,61.627,62.505,63.281,63.961,64.547,65.048,65.482,65.872,66.24,66.597
Europe,,73.372,73.527,73.709,73.924,74.173,74.457,74.778,75.129,75.501,75.884,76.265,76.634,76.981,77.301,77.588,77.839,78.057,78.25,78.425,78.587
Faeroe Islands,FRO,78.628,78.866,79.043,79.159,79.221,79.245,79.251,79.263,79.299,79.368,79.47,79.598,79.736,79.872,80.003,80.13,80.255,80.383,80.52,80.666
Falkland Islands,FLK,77.861,78.116,78.377,78.637,78.891,79.135,79.364,79.577,79.775,79.958,80.128,80.286,80.437,80.585,80.731,80.876,81.021,81.163,81.304,81.442
Fiji,FJI,65.687,65.863,66.022,66.152,66.247,66.313,66.362,66.413,66.477,66.559,66.655,66.759,66.859,66.95,67.03,67.103,67.175,67.252,67.341,67.444
Finland,FIN,77.779,78.028,78.272,78.51,78.745,78.977,79.208,79.44,79.672,79.906,80.137,80.365,80.586,80.799,81.002,81.196,81.382,81.561,81.736,81.908
